N°,Funcionalidad / Proceso,Detalle,Fuente interno/DM,Invalidante Si/No,Cat. Error,Severidad,Requiere desarrollo,Respaldo en IC,Observación IC (Intención de Compra),Evidencia (imagen),Log de error,Fecha revisión,hh PO,hh Analista,hh Arquitecto,hh Desarrollador,hh UX/UI,hh QA,hh Total,Tiempo de desarollo,Justificación,Módulos afectados,Justificación,Riesgo de regresión,Justificación,Complejidad técnica de integración,Justificación,Complejidad de gestión externa,Justificación,Complejidad técnica del desarrollo,Justificación,Puntaje total,Asignación propuesta,Prioridad piloto Odoo,Justificación priorización,Tipo de desarollo,Mejora propuesta
11,Preobligación,Se genera una preobligación sin contrastar saldos con presupuestos,Interno,No,Flujo,Crítico,A evaluar,Sí,"Anexo N°13 - punto 1.1 (Contabilidad) Requerimientos funcionales ítem 8
""No permitir obligaciones sin saldo de presupuesto"", ""Que además de generar un cuadro de notificación (Warning) cuando existan unas diferencias de saldo, que no permite avanzar.""",,,,4,4,2,8,2,4,24,2,Total ~24 hh: validación bloqueante de saldo.,2,Adquisiciones + Presupuestos.,4,Motor de validación presupuestaria; cambio en núcleo del flujo.,0,Integración interna.,0,Sin gestión externa.,3,Desarrollo Python estándar con validación bloqueante.,11,Interno,P0 · Crítico para piloto,"Generar una preobligación sin contrastar saldos es exactamente el tipo de falla que hace fracasar el piloto. Sin esto, el control presupuestario es ficción.","Agregar validación bloqueante al momento de generar una Preobligación: consultar el saldo disponible en el módulo de Presupuestos y comparar contra el monto a comprometer. Si excede el saldo, bloquear la generación con mensaje claro y registro auditable.","Antes de generar una Preobligación, el sistema debe consultar el saldo disponible de la cuenta presupuestaria asignada y validar que el monto a comprometer no lo exceda. Si excede, bloquear la operación, informar el monto disponible y el monto solicitado, y ofrecer canalizar una solicitud de financiamiento a DAF."
12,Modalidad de compra (Elaboración),"""Criterios y requisitos"" no varía según ""Tipo de Compra"". Validar con DM. Podría tener restricciones de diverso tipo, por ejemplo si excede de 1000 UTM solo permite Licitación",Interno,No,Flujo,Crítico,A evaluar,Sí,"Anexo N°12 - tareas 21 a 24
Se distinguen 4 tipos de compra: Licitación, Trato Directo, Convenio Marco y Compra Agil. Cada una tiene validaciones y flujos distintos.",,,,4,8,2,12,4,6,36,2,Total ~36 hh: lógica condicional por tipo de compra.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,"Sin gestión externa, pero requiere validación con DM.",3,Desarrollo Python estándar con reglas condicionales por tipo.,8,Por evaluar,P2 · UX deseable,"Requiere primero validar con DM qué restricciones aplican por tipo. Mejora deseable, no bloquea piloto.","Implementar campos dinámicos en el formulario de Modalidad de Compra: el conjunto de criterios y requisitos a desplegar varía según el tipo de compra seleccionado (Compra Ágil, Convenio Marco, Licitación, Trato Directo). Reglas condicionales en la vista y validaciones por tipo. Requiere validación funcional previa con DM.","Los criterios y requisitos asociados a una compra deben variar según el tipo de compra elegido, respetando el Reglamento de la Ley 19.886. Por ejemplo: Licitación exige criterios técnicos y económicos ponderados; Trato Directo exige justificación legal y mínimo de cotizaciones; Compra Ágil tiene umbrales máximos. Para montos que superen un umbral por tipo, exigir validaciones adicionales (autorización Alcalde, decreto, etc.)."
13,Modalidad de compra (Elaboración),"""Criterios y requisitos"" no es obligatorio. No permite una estructura que refleje las complejidades de un Tipo de Compra",Interno,No,Elementos faltantes,Moderado,A evaluar,,,,,,1,2,0,4,1,2,10,1,Total ~10 hh: obligatoriedad condicional.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,Sin gestión externa.,2,Cambio de vista + regla de obligatoriedad.,6,Interno,P2 · UX deseable,Conectado al ítem 12. Lote conjunto.,"Marcar el campo ""Criterios y requisitos"" como obligatorio según el tipo de compra. Agregar estructura mínima esperada (subcampos por criterio, ponderación si aplica). Implica cambios en vista y eventualmente en modelo si requiere subcampos relacionados.","Cuando el tipo de compra exige criterios formales (Licitación, Trato Directo), el campo Criterios y Requisitos debe ser obligatorio y permitir una estructura que refleje las complejidades del tipo: criterios técnicos, criterios económicos, ponderaciones, requisitos formales y de admisibilidad. Para tipos más simples (Compra Ágil), bastar con texto libre o estructura mínima."
14,Modalidad de compra (Revisión),"Aparece una pestaña ""Decreto"". Qué decreto? de autorización de compra, de publicación de compra? Quién lo aprueba?",Interno,No,Retroalimentación,Moderado,A evaluar,,,,,,1,2,0,2,2,1,8,1,Total ~8 hh: clarificación de pestaña.,1,Solo Adquisiciones.,1,Solo cambio de vista y etiquetas.,0,Sin integración.,0,Sin gestión externa.,2,Cambio XML + textos de ayuda.,5,Interno,P2 · UX deseable,Falta de contexto en UI. Mejora de retroalimentación.,"Cambio de vista XML para clarificar la pestaña Decreto: agregar texto de ayuda explicando a qué decreto se refiere, quién lo emite, quién lo aprueba. Eventualmente, modelado más explícito (campo Tipo de Decreto si hay varios).","Aclarar en la UI a qué tipo de decreto corresponde la pestaña Decreto (decreto de autorización de compra, decreto de adjudicación, decreto de publicación, etc.). Mostrar quién lo emite y quién lo aprueba. Si en el proceso hay más de un tipo de decreto, modelarlos explícitamente."
15,Modalidad de compra (Revisión),Se genera el error por Permisos de acceso cuando el rol del usuario autenticado no es el correcto. Debería desactivar el botón estos casos.,Interno,No,Flujo,Moderado,A evaluar,Sí,,,,,1,1,0,3,1,2,8,1,Total ~8 hh: desactivar botón según permisos.,1,Solo Adquisiciones.,2,Lógica de UI condicional por rol.,0,Sin integración.,0,Sin gestión externa.,2,Ajuste de vista + condicionales de permisos.,6,Interno,P2 · UX deseable,"UX defensiva, no bloquea piloto pero genera errores molestos al usuario.",Ajustar la vista para que los botones de acción se muestren desactivados (atributo `invisible` o `readonly` dinámico) cuando el usuario autenticado no tiene los permisos requeridos. Reemplaza el comportamiento actual de mostrar el botón habilitado y arrojar error al hacer clic.,"Cuando un usuario no tiene los permisos requeridos para una acción, el botón correspondiente debe aparecer desactivado o no visible (no debe arrojar error tras el clic). Tooltip explicativo opcional que indique al usuario por qué no puede ejecutar esa acción y a quién debe escalar."
16,Modalidad de compra,"Durante las distintas etapas puedo cambiar ""Tipo de Compra"", incluso en etapa ""Publicada""",Interno,No,Flujo,Moderado,A evaluar,,,,,,2,2,0,6,1,3,14,1,Total ~14 hh: bloquear cambios según estado.,1,Solo Adquisiciones.,3,Cambio en lógica de estados.,0,Sin integración.,0,Sin gestión externa.,2,Reglas de estado en modelo.,7,Interno,P1 · Control interno crítico,Cambiar Tipo de Compra en estado Publicada corrompe la trazabilidad del proceso. Falla de integridad de datos que afecta control interno.,Implementar reglas de estado en el modelo de Modalidad de Compra: el campo Tipo de Compra debe ser de solo lectura (readonly) una vez que el documento pasa al estado Publicada. Esto requiere ajustes en la vista (atributos readonly dinámicos) y eventualmente en el modelo (validación con @api.constrains).,"Una vez que la compra entra en estado Publicada (publicada en Mercado Público o estado equivalente), el Tipo de Compra debe quedar bloqueado y no editable. Cualquier cambio de tipo a esa altura corrompe la trazabilidad del proceso y debe requerir un proceso formal de anulación y reinicio."
17,Modalidad de compra (Publicada),"Para autorizar publicación se exige una ""Evidencia de Publicación"". Podría ser cualquier tipo de documento. Idealmente para publicaciones en Mercado Público podría ser alguna verificación con API.",Interno,No,Flujo,Moderado,A evaluar,,,,,,2,2,0,4,2,2,12,1,Total ~12 hh: validación de tipo de evidencia.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración (la integración real con MP es separada).,0,Sin gestión externa propia.,2,Validación de tipo de archivo + obligatoriedad condicional.,6,Interno,P2 · UX deseable,"Conecta con la integración con Mercado Público (P3 nuevo stack). Mientras tanto, validar al menos tipo de archivo.","Validación de tipo de archivo y obligatoriedad de la Evidencia de Publicación. Idealmente, conectar con el ítem #9 DM (integración Mercado Público) para que el sistema obtenga la evidencia automáticamente desde el portal de MP en lugar de exigir carga manual.","La Evidencia de Publicación debe restringirse a tipos específicos (PDF preferentemente, captura de pantalla del portal MP). Idealmente, cuando se publica una compra en Mercado Público, el sistema debe generar automáticamente la evidencia (captura de la URL pública o PDF con timestamp) sin requerir carga manual del funcionario."
18,Comisión Evaluadora ,"La pestaña ""Comisión Evaluadora"" tiene tres submenús: ""Comisión Evaluadora"", ""Decreto Comisión"" y ""Validación y Decreto"". Al acceder a cada flujo, cada uno tiene el mismo tipo de interacción. Para qué sirve cada uno en específico?",Interno,No,Flujo,Moderado,A evaluar,,,,,,2,4,0,6,4,2,18,1,Total ~18 hh: rediseño de navegación de pestañas.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,Sin gestión externa.,2,Cambio XML + reorganización.,6,Interno,P2 · UX deseable,UX de la Comisión Evaluadora. Conectado al lote del ítem 20.,"Rediseño de la navegación de la pestaña Comisión Evaluadora: consolidar los tres submenús (Comisión Evaluadora, Decreto Comisión, Validación y Decreto) en un flujo lineal con secciones claras o usar pestañas anidadas con un orden visible. Cambio principalmente en vistas XML.","Reorganizar la pestaña Comisión Evaluadora para que el flujo sea lineal y autoexplicativo: conformación de la comisión → emisión del decreto → validación y firma del decreto. Cada paso debe quedar bloqueado hasta que el anterior esté completo, evitando que el usuario navegue entre submenús sin orden."
19,Comisión Evaluadora ,"En la pestaña de ""Miembros de la comisión"" se pueden agregar usuarios de la plataforma. Qué aporte tiene eso? de hecho, agregué un usuario al que tengo perfil de acceso. A este no le aparece siquiera una notificación al respecto.",Interno,No,Flujo,Crítico,A evaluar,,,,,,2,2,0,6,1,3,14,1,Total ~14 hh: validar reglas de composición de comisión.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,Sin gestión externa.,2,Reglas de validación.,6,Interno,P1 · Control interno crítico,Composición de Comisión Evaluadora es regulada por ley. Permitir cualquier usuario expone al municipio a observaciones formales.,"Validaciones de composición de la Comisión Evaluadora: número mínimo de miembros, perfiles requeridos (al menos uno técnico, al menos uno administrativo, etc.) según el Reglamento. Reglas implementadas como @api.constrains en el modelo de Comisión.","Validar que los miembros de la Comisión Evaluadora cumplan los requisitos del Reglamento de la Ley 19.886: número mínimo de integrantes según monto de la licitación, ausencia de conflictos de interés (declaración formal), composición plural. Bloquear el avance del proceso si la comisión no cumple los requisitos."
20,Comisión Evaluadora ,"Según documento de Intención de compra, en el punto 20. Adquisiciones: Comisión Evaluadora, se solicitaba subir decreto a Mercado Púlbico y Plataforma de Ley del Lobby. SGM no da cuenta de si tales acciones fueron realizadas.",Interno,No,Flujo,Crítico,A evaluar,Sí,"Anexo N°13 - punto 1.4 letra c
""El sistema debe contemplar la circulación digital de documentos al interior de la organización, y las visaciones electrónicas y la vinculación con la información de Mercado Público."". Se aprueba sin firma ni documento. Exigible",,,,8,16,8,40,12,12,96,3,"Total ~96 hh: implementación completa del flujo de Comisión Evaluadora según IC (subir decreto a MP, firmas Lobby).",2,Adquisiciones + módulo de firmas/Lobby si aplica.,3,Cambio en flujo de estados de la Comisión.,1,Conexión con Mercado Público (subir decreto).,1,Conexión con Lobby (registro de personas).,3,Desarrollo Python estándar; coordinación con integraciones externas.,13,Licitación,P1 · Control interno crítico,"Funcionalidad clave de Licitación según IC, hoy incompleta. Lote con ítems 18-19. Conectado al lote MP (P3) pero la lógica interna puede empezar antes.","Implementar el flujo completo de Comisión Evaluadora según especifica el punto 20 del Anexo N°12 de la IC: cargar decreto de comisión a Mercado Público (requiere integración MP, ver ítem #9 DM), firma de comisionados con Lobby (registro de personas que asisten a sesiones), trazabilidad del proceso. Requiere desarrollo nuevo del flujo y eventual integración con servicios externos.",Cumplir el flujo de Comisión Evaluadora conforme a la Intención de Compra: conformación → decreto → publicación del decreto en MP → sesión de evaluación con registro Lobby → acta de evaluación → propuesta de adjudicación. Cada paso queda registrado en SGM y los actos formales son publicados en MP automáticamente.
21,Resolución de Compra (Borrador),"Al seleccionar IVA 19% Compra (IVA Incluido) o IVA 19% Compra, el cálculo de impuestos es el mismo.",Interno,No,Flujo,Moderado,A evaluar,,,,,,1,1,0,2,0,2,6,1,Total ~6 hh: corregir cálculo de impuestos.,1,Solo Adquisiciones.,2,Lógica acotada pero afecta cálculos contables.,0,Sin integración.,0,Sin gestión externa.,2,Corrección de fórmula de cálculo.,6,Interno,P0 · Crítico para piloto,Bug de cálculo de impuestos. Genera datos contables incorrectos. Bloqueante para uso responsable.,Revisar y corregir el cálculo de impuestos para los códigos IVA 19% Compra (IVA Incluido) e IVA 19% Compra. El primer caso debe descontar el IVA del precio bruto; el segundo debe sumarlo al precio neto. Cambio acotado en la lógica de cálculo del modelo.,"Corregir el cálculo de impuestos para que IVA 19% Compra (IVA Incluido) descomponga el precio bruto (precio neto = precio bruto / 1.19), y IVA 19% Compra agregue el impuesto al precio neto (precio bruto = precio neto * 1.19). Validar que las facturas y comprobantes reflejen los valores correctamente."
22,Resolución de Compra (Borrador),"El campo ""Número de Orden de Compra"" se ingresa manualmente. Debería haber alguna automatización de números correlativos por ejemplo?",Interno,No,Flujo,Moderado,A evaluar,,,,,,1,1,0,4,1,2,9,1,Total ~9 hh: secuencia automática.,1,Solo Adquisiciones.,2,Lógica acotada (secuencia Odoo nativa).,0,Sin integración.,0,Sin gestión externa.,1,Configuración de secuencia Odoo.,5,Interno,P2 · UX deseable,Evita errores de data entry. Mejora de calidad de datos.,"Configurar una secuencia Odoo (ir.sequence) para el número de Orden de Compra con formato municipal estándar. Asignación automática al crear la OC, con la opción de visualizarla pero no editarla.","El número de Orden de Compra debe generarse automáticamente con una secuencia correlativa anual (formato sugerido: OC-AAAA-NNNNN). El campo debe ser de solo lectura para el usuario, salvo en casos específicos autorizados (por ejemplo, ajuste manual por administrador con auditoría)."
